S. No.,SITE_ID,DISTRICT,Block,VILLAGE,ELEVATION,FORMATION,River Basin,Normal (1901-70),Average rainfall (2012-21) (mm),Rainfall (2021) (mm),Departure (%) in 2021 from normal rainfall,Departure (%) in 2021 from Average rainfall,MAY_bgl,AUG_bgl,NOV_bgl,JAN_bgl,DEPTH,MAY_flu,AUG_flu,NOV_flu,JAN_flu
1,W260200075060001,AJMER,SARWAR,AJAGARA,352,Gneiss,Banas,437,540.41,606,27.92,10.86,3.77,3.17,3.32,3.28,8.17,-0.05,0.82,0.62,0.65
2,W260442074223401,AJMER,MASOODA,Andheri Devi,490,Schist,Luni,437,540.41,606,27.92,10.86,12.8,13.6,12.1,12.95,23,-0.77,5.86,6.26,4.9
3,W262700075040001,AJMER,ARAIN,ARIAN,372,Gneiss,Banas,437,540.41,606,27.92,10.86,4.97,4.12,3.67,4.77,21.3,1.03,-0.24,0.1,1.04
4,W255430074120001,AJMER,JAWAJA,BAGLIAS,567,Schist,Luni,437,540.41,606,27.92,10.86,0,0,8.65,8.6,9.94,3.13,3.44,3.88,3.5
5,W261245075021001,AJMER,ARAIN,BARORA,372,Gneiss,Banas,437,540.41,606,27.92,10.86,3.34,0.64,0.69,1.49,18,-3.19,-5.28,-2.63,-2.23
6,W255324075140001,AJMER,KEKRI,BOGLA,331,Gneiss,Banas,437,540.41,606,27.92,10.86,6.42,1.52,2.07,2.22,10.07,0.17,-3.18,-1.84,-2.14
7,W262107075060001,AJMER,ARAIN,DASUK,374,Gneiss,Banas,437,540.41,606,27.92,10.86,8.35,7.8,8.25,8.45,12.5,1.88,2.5,3.47,2.32
8,W260745074554001,AJMER,SARWAR,Goelo,366,Gneiss,Banas,437,540.41,606,27.92,10.86,6.57,5.27,5.87,6.57,12.17,-0.58,-0.12,1,1.57
9,W260230074424801,AJMER,BHINAY,Gopalpura,473,Gneiss,Banas,437,540.41,606,27.92,10.86,10.4,10.4,9.4,9.7,200,-3.31,-0.88,-1.76,-2.22
10,W255600074120001,AJMER,JAWAJA,JAWAJA1,490,Schist,Luni,437,540.41,606,27.92,10.86,9.25,7.2,8.1,8.4,17.3,0.44,1.63,3.68,1.79
11,W260130074393001,AJMER,BHINAY,JHOPADIYAN,432,Gneiss,Banas,437,540.41,606,27.92,10.86,17.15,10.45,11.25,11.55,19.7,2.48,-1.25,1.33,0.76
12,W262400074520001,AJMER,SHRINAGAR,KANPURA1,409,Gneiss,Banas,437,540.41,606,27.92,10.86,3.9,3.05,2.45,2.6,10,-2.2,-1.48,-1.82,-1.96
13,W261400074293001,AJMER,PEESANGAN,LAMANA,452,Schist,Luni,437,540.41,606,27.92,10.86,16.99,11.49,11.84,11.99,20,4.95,1.11,1.7,1.97
14,W255950074350001,AJMER,MASOODA,LUDIYANA,413,Gneiss,Banas,437,540.41,606,27.92,10.86,0,0,13.23,13.53,15,3.24,3.25,3.26,3.46
15,W260712074221201,AJMER,JAWAIA,MAIDAYABADAYA,486,Schist,Luni,437,540.41,606,27.92,10.86,5.82,4.17,4.77,5.17,14.57,0.83,1.23,1.67,1.6
16,W261637074302901,AJMER,PEESANGAN,Mangaliyawas,437.57,Schist,Luni,437,540.41,606,27.92,10.86,16.9,12,13.7,13.6,22.1,3.13,0.2,3.15,2.7
17,W261830074554001,AJMER,SHRINAGAR,Morajhari,382,Gneiss,Banas,437,540.41,606,27.92,10.86,5.9,5.3,4.3,4.6,150,-2.61,-0.08,-1.35,-0.6
18,W255633075105701,AJMER,KEKRI,Nai Khera,345,Gneiss,Banas,437,540.41,606,27.92,10.86,7.95,5.55,4.6,5.25,18,0.4,-1.4,-2.22,-5.17
19,W260300074170001,AJMER,JAWAJA,NARBADKHERA,463,Schist,Luni,437,540.41,606,27.92,10.86,14.65,10.9,12.1,12.5,29,1.11,1.72,3.38,2.4
20,W261712074442501,AJMER,PEESANGAN,NASIRABAD,425,Gneiss,Banas,437,540.41,606,27.92,10.86,3.15,2.64,4,4.5,20.87,-1.17,0.19,2.33,2.67
21,W261558074370301,AJMER,PEESANGAN,Pachmata,460,Schist,Luni,437,540.41,606,27.92,10.86,13.6,11,14.1,14.2,100,-0.1,-1.05,3,1.97
22,W260517074235701,AJMER,MASOODA,PAKHRIAWAS,527,Schist,Luni,437,540.41,606,27.92,10.86,13.35,12.2,12.3,12.55,16.55,2,2.35,5.36,2.85
23,W255800074275101,AJMER,MASOODA,Ramgarh2,148,Gneiss,Banas,437,540.41,606,27.92,10.86,33.2,0,0,0,150,5.43,5.44,5.45,5.46
24,W261600074513001,AJMER,SHRINAGAR,RAMSAR2,395,Gneiss,Banas,437,540.41,606,27.92,10.86,5.9,3.3,4.1,4.42,14.1,-1.54,-1.49,-0.45,-0.48
25,W255440075023001,AJMER,SARWAR,SANPLA,359,Gneiss,Banas,437,540.41,606,27.92,10.86,9.15,0,8.3,8.5,10.35,2.61,2.62,4.02,4.03
26,W260300075000001,AJMER,SARWAR,SARWAD,364,Gneiss,Banas,437,540.41,606,27.92,10.86,2.7,1.6,1.55,1.65,7.5,-0.65,-0.76,-1.2,-1.42
27,W262147074370001,AJMER,PEESANGAN,TABIJI,457,Schist,Luni,437,540.41,606,27.92,10.86,6.21,5.81,7.21,7.41,22.36,-1.75,0.48,2.18,1.89
28,W255300074090001,AJMER,JAWAJA,TARAGARH,524,Schist,Luni,437,540.41,606,27.92,10.86,6.3,5.1,6.25,6.7,19.29,2.05,3.44,4.84,5.23
29,W263905074561001,AJMER,KISHANGARH,Tiloniya,440,Gneiss,Banas,437,540.41,606,27.92,10.86,23.6,16.45,18.7,18.85,150,0.29,-2.64,2.22,-1.53
30,W274852076272601,ALWAR,BANSUR,Alanpur,331,Older Alluvium,Sabi,626,564.08,765,18.18,26.28,51.2,44.8,45.3,45,93.6,15.63,10.2,9.76,8.02
31,W272740076235601,ALWAR,THANAGAZI,Bairawas,305,Quartzite,Ruparail,626,564.08,765,18.18,26.28,21.4,21.25,21.95,22.65,200,-0.02,1.08,3.13,2.33
32,W274130076212001,ALWAR,BANSUR,BANSUR,366,Older Alluvium,Sabi,626,564.08,765,18.18,26.28,38.25,38.7,40.05,39.25,65.54,8.26,9.29,11.04,9.45
33,W272630076313001,ALWAR,UMREN,Baran1,277,Older Alluvium,Ruparail,626,564.08,765,18.18,26.28,14.15,10.95,14.05,13.35,20,0.48,-1.37,1.55,-0.03
34,W275630076183001,ALWAR,BEHROR,Bhituda,311,Older Alluvium,Sabi,626,564.08,765,18.18,26.28,0,95.1,95.6,95,100.2,14.59,14.6,14.94,12.81
35,W275159076474401,ALWAR,KISHANGARH BAS,BOLNI,258,Older Alluvium,Ruparail,626,564.08,765,18.18,26.28,25.3,24.05,24.75,25.15,142.04,1.75,1.17,1.71,1.86
36,W271615076331301,ALWAR,RAJGARH,Dharampura,239,Quartzite,Ruparail,626,564.08,765,18.18,26.28,40.35,34.9,34.65,35.57,174,10.86,7.88,7.5,4.42
37,W271418076331801,ALWAR,RAJGARH,Doulatpura,305,Quartzite,Ruparail,626,564.08,765,18.18,26.28,32.88,25.92,24.3,24.8,80,5.53,0.43,-1.63,-0.99
38,W271230076473001,ALWAR,RENI,GADI SWAIRAM,269,Older Alluvium,Banganga,626,564.08,765,18.18,26.28,17.12,9.4,9.05,10.28,32.25,-5.04,-6.95,-7.79,-6.69
39,W274700076301501,ALWAR,MANDAWAR,GANGWALI DHANI,339,Older Alluvium,Sabi,626,564.08,765,18.18,26.28,60.4,58.15,57.8,56.1,74.08,11.19,9.53,8.59,5.17
40,W273035076595801,ALWAR,LAXMANGARH,Govindgarh-Pz,217,Older Alluvium,Ruparail,626,564.08,765,18.18,26.28,32.76,32.5,32.55,33.63,50,6.25,6.66,3.97,6.39
41,W275200076370002,ALWAR,KOTKASIM,HARSAULI,285,Older Alluvium,Sabi,626,564.08,765,18.18,26.28,0,55.75,56.3,56.6,86.64,56.61,28.25,24.46,28.36
42,W273800076200001,ALWAR,BANSUR,Holawas,383,Older Alluvium,Sabi,626,564.08,765,18.18,26.28,48.3,47.25,47.65,47.1,150,14.81,14.4,14.16,13.19
43,W275857076243001,ALWAR,NEEMRANA,Janak Singh Pura,533,Older Alluvium,Sabi,626,564.08,765,18.18,26.28,46.9,46.25,46.9,47,53.9,5.09,6.49,5.29,5.62
44,W275934076231501,ALWAR,NEEMRANA,Japaneese Zone,334,Older Alluvium,Sabi,626,564.08,765,18.18,26.28,62,62.6,63.2,64.1,107.7,10.27,11.47,9.72,7.13
45,W275548076292401,ALWAR,MANDAWAR,JASAI,295,Older Alluvium,Sabi,626,564.08,765,18.18,26.28,48.1,0,0,0,99,14.76,14.77,14.78,14.79
