Sno,District,Block,Village,Avg Rainfall,LAT,LONG,Depth,Elevation,May_decade_bgl,Aug_decade_bgl,Nov_decade_bgl,Jan_decade_bgl,May_bgl,Aug_bgl,Nov_bgl,Jan_bgl,May_rise,Aug_rise,Nov_rise,Jan_rise
W262107075060001,AJMER,Arain,DASUK,75.1,26.35,1.55,12.5,374,6.47,5.3,4.78,6.13,3.77,3.17,3.32,3.28,-0.05,0.82,0.62,0.65
W260745074554001,AJMER,Bhinai,Goclo,74.93,26.13,0.53,12.17,366,7.15,5.39,4.87,5,12.8,13.6,12.1,12.95,-0.77,5.86,6.26,4.9
W260230074424801,AJMER,Bhinai,Gopalpura,74.71,26.04,0.8,200,473,13.71,11.28,11.16,11.92,4.97,4.12,3.67,4.77,1.03,-0.24,0.1,1.04
W255600074120001,AJMER,Jawaja,JAWAJAI,74.2,25.93,0.6,17.3,490,8.81,5.57,4.42,6.61,0,0,8.65,8.6,,,3.88,3.5
W260130074393001,AJMER,Masuda,JHOPADIYAN,74.66,26.03,1.05,19.7,432,14.67,11.7,9.92,10.79,3.34,0.64,0.69,1.49,-3.19,-5.28,-2.63,-2.23
W262400074520001,AJMER,Srinagar,KANPURAI,74.87,26.4,0.4,10,409,6.1,4.53,4.27,4.56,6.42,1.52,2.07,2.22,0.17,-3.18,-1.84,-2.14
W261400074293001,AJMER,Peesangan,LAMANA,74.49,26.23,0.11,20,452,12.04,10.38,10.14,10.02,8.35,7.8,8.25,8.45,1.88,2.5,3.47,2.32
W255950074350001,AJMER,Masuda,LUDIYANA,74.58,26,0.67,15,413,12.32,10.81,9.97,10.07,6.57,5.27,5.87,6.57,-0.58,-0.12,1,1.57
W260712074221201,AJMER,Jawaja,MAIDAYABADAYA,74.37,26.12,0.33,14.57,486,5,2.94,3.1,3.57,10.4,10.4,9.4,9.7,-3.31,-0.88,-1.76,-2.22
W261637074302901,AJMER,Peesangan,Mangaliyawas,74.51,26.28,0,22.1,437.57,13.77,11.8,10.55,10.9,9.25,7.2,8.1,8.4,0.44,1.63,3.68,1.79
W261830074554001,AJMER,Srinagar,Morajhari,74.93,26.31,1,150,382,8.51,5.38,5.65,5.2,17.15,10.45,11.25,11.55,2.48,-1.25,1.33,0.76
W255633075105701,AJMER,Kekri,Nai Khera,75.18,25.94,0.75,18,345,7.55,6.95,6.82,10.42,3.9,3.05,2.45,2.6,-2.2,-1.48,-1.82,-1.96
W260300074170001,AJMER,Jawaja,NARBADKHERA,74.28,26.05,1,29,463,13.54,9.18,8.72,10.1,16.99,11.49,11.84,11.99,4.95,1.11,1.7,1.97
W261712074442501,AJMER,Peesangan,NASIRABAD,74.74,26.29,0.5,20.87,425,4.32,2.45,1.67,1.83,0,0,13.23,13.53,2.31,1.24,3.26,3.46
W261558074370301,AJMER,Peesangan,Pachmata,74.62,26.27,1,100,460,13.7,12.05,11.1,12.23,5.82,4.17,4.77,5.17,0.83,1.23,1.67,1.6
W260517074235701,AJMER,Jawaja,PAKHRIAWAS,74.4,26.09,0,16.55,527,11.35,9.85,6.95,9.7,16.9,12,13.7,13.6,3.13,0.2,3.15,2.7
W255800074275101,AJMER,Masuda,Ramgarh2,74.46,25.97,1,150,148,27.77,21.04,23.9,24.76,5.9,5.3,4.3,4.6,-2.61,-0.08,-1.35,-0.6
W261600074513001,AJMER,Srinagar,RAMSAR2,74.86,26.27,1.2,14.1,395,7.44,4.79,4.55,4.9,7.95,5.55,4.6,5.25,0.4,-1.4,-2.22,-5.17
W255440075023001,AJMER,Arain,SANPLA,75.04,25.91,0.7,10.35,359,6.54,4.03,4.28,4.47,14.65,10.9,12.1,12.5,1.11,1.72,3.38,2.4
W260300075000001,AJMER,Arain,SARWAD,75,26.05,0,7.5,364,3.35,2.36,2.75,3.07,3.15,2.64,4,4.5,-1.17,0.19,2.33,2.67
W262147074370001,AJMER,Peesangan,TABIJI,74.62,26.36,0.29,22.36,457,7.96,5.33,5.03,5.52,13.6,11,14.1,14.2,-0.1,-1.05,3,1.97
W255300074090001,AJMER,Jawaja,TARAGARH,74.15,25.88,0.9,19.29,524,4.25,1.66,1.42,1.47,13.35,12.2,12.3,12.55,2,2.35,5.36,2.85
W274852076272601,ALWAR,Bansur,Alanpur,76.46,27.81,1,93.6,331,35.57,34.6,35.54,36.98,5.9,3.3,4.1,4.42,-1.54,-1.49,-0.45,-0.48
W272740076235601,ALWAR,Thanagaji,Bairawas,76.4,27.46,0.5,200,305,21.42,20.18,18.83,20.33,21.4,21.25,21.95,22.65,-0.02,1.08,3.13,2.33
W274130076212001,ALWAR,Bansur,BANSUR,76.36,27.69,1.05,65.54,366,29.99,29.41,29.01,29.8,38.25,38.7,40.05,39.25,8.26,9.29,11.04,9.45
W272630076313001,ALWAR,Umrain,Baranl,76.53,27.44,0.65,20,277,13.67,12.32,12.5,13.38,14.15,10.95,14.05,13.35,0.48,-1.37,1.55,-0.03
W275630076183001,ALWAR,Behror,Bhituda,76.31,27.94,1,100.2,311,78.9,80.5,80.66,82.19,0,95.1,95.6,95,,14.6,14.94,12.81
W275159076474401,ALWAR,Kishangarh Bas,BOLNI,76.8,27.87,1,142.04,258,23.55,22.88,23.04,23.29,25.3,24.05,24.75,25.15,1.75,1.17,1.71,1.86
W271615076331301,ALWAR,Rajgarh,Dharampura,76.55,27.27,0.5,174,239,29.5,27.03,27.15,31.16,40.35,34.9,34.65,35.57,10.86,7.88,7.5,4.42
W271418076331801,ALWAR,Rajgarh,Doulatpura,76.56,27.24,1.1,80,305,27.35,25.49,25.93,25.79,32.88,25.92,24.3,24.8,5.53,0.43,-1.63,-0.99
W271230076473001,ALWAR,Reni,GADI SWAIRAM,76.79,27.21,0.45,32.25,269,22.16,16.35,16.84,16.97,17.12,9.4,9.05,10.28,-5.04,-6.95,-7.79,-6.69
W274700076301501,ALWAR,Mandawar,GANGWALI DHANI,76.5,27.78,1,74.08,339,49.21,48.62,49.21,50.93,60.4,58.15,57.8,56.1,11.19,9.53,8.59,5.17
W273035076595801,ALWAR,Lachhmangarh,Govindgarh - Pz,77,27.51,1,50,217,26.51,25.84,28.58,27.24,32.76,32.5,32.55,33.63,6.25,6.66,3.97,6.39
W275200076370002,ALWAR,Kotkasim,HARSAULI,76.62,27.87,1,86.64,285,29.44,27.5,31.84,28.24,0,55.75,56.3,56.6,,28.25,24.46,28.36
W273800076200001,ALWAR,Bansur,Holawas,76.33,27.63,1,150,383,33.49,32.86,33.49,33.91,48.3,47.25,47.65,47.1,14.81,14.4,14.16,13.19
W275857076243001,ALWAR,Neemrana,Janak Singh Pura,76.41,27.98,1,53.9,533,41.81,39.76,41.61,41.38,46.9,46.25,46.9,47,5.09,6.49,5.29,5.62
W275934076231501,ALWAR,Neemrana,Japaneese Zone,76.39,27.99,1,107.7,334,51.73,51.13,53.48,56.97,62,62.6,63.2,64.1,10.27,11.47,9.72,7.13
W275548076292401,ALWAR,Mandawar,JASAI,76.49,27.93,1,99,295,33.34,32.19,34.5,35.57,48.1,0,0,0,14.76,,,
W271515076495601,ALWAR,Lachhmangarh,JHALADALA,76.83,27.25,0.65,45,259,33.5,33.44,32.98,32.77,32.99,31.17,31.55,33.25,-0.51,-2.27,-1.43,0.48
W271843076242801,ALWAR,Thanagazi,Kalighati Sariska,76.41,27.31,1.5,30,460,12.17,7.46,7.73,8.29,9.26,6.95,6.9,7.47,-2.91,-0.51,-0.82,-0.82
W280345076214501,ALWAR,Neemrana,KANHAWAS,76.36,28.06,0.99,129,305,60.16,57.79,59.19,59.71,57.21,74.16,74.46,74.91,-2.95,16.37,15.27,15.2
W274912076440001,ALWAR,Kishangarh Bas,KISHANGARH BASI,76.73,27.82,0.78,76.65,308,41.24,41.66,40.69,41.66,58.72,58.22,58.82,57.92,17.48,16.56,18.13,16.26
W280155076425501,ALWAR,Kotkasim,Kotkasim,76.72,28.03,1,60,261,29.19,28.29,30.55,29.66,32,27.1,28.2,29.1,2.81,-1.19,-2.35,-0.56
W271213076171001,ALWAR,Thanagaji,KUNDAL,76.29,27.2,0.5,200,351,28.45,26.72,27.7,27.64,0,29.34,31.27,31.69,,2.62,3.57,4.05
W272100076513501,ALWAR,Lachhmangarh,LACHMANGARH,76.86,27.35,0.72,14,228,8.68,7.78,7.67,8.38,12.38,12.21,11.98,12.38,3.7,4.43,4.31,4
W275950076190001,ALWAR,Thanagazi,Majri Khurd,76.32,28,1,84.6,388,27.87,27.5,28.57,28.65,29,29.1,29.75,29.15,1.13,1.6,1.18,0.5
W271555076285601,ALWAR,Rajgarh,NANDU,76.48,27.27,0.5,200,305,22.6,20.93,21.65,21.41,0,0,8.88,9.35,-12.98,-12.78,-12.77,-12.06
W275956076231501,ALWAR,Neemrana,Neemrana,76.39,28,1,100,308,54.62,55.38,59.27,52.14,0,61.5,60.9,62.2,6.23,6.12,1.63,10.06
